,Region,Customer_ID,Customer_Name,Gender,Age,Credit_Type,Credit_Amount,Interest_Rate,Loan_Term_Months,Start_Date,Payment_Status,Occupation,Account_Balance,region,district,district_population,branch_count,clients_in_district_rows,active_clients_district
1002,Andijon viloyati - Shahrixon,396407fc-401e-47a4-be7e-84933a82cbdd,Mary Murray MD,ayol,18,Avtokredit,128375827,15.69,12,2022-10-04,To'langan,Ishchi,83083199,Jizzax,Jizzax,78543,1,235,3949
1003,Namangan viloyati - Pop,9c571b7b-4759-464b-98fa-56dbcf337fac,Angel Foster,ayol,29,Avtokredit,32351342,19.76,12,2022-07-06,Kechikkan,Ishchi,88228781,Sirdaryo,Shirin,77686,2,255,9183
1004,Xorazm viloyati - Urganch,b885878e-eaa1-4b71-9635-fc9f730d4035,Edward Jones,ayol,69,Fermerlik,494172955,20.91,24,2024-04-15,To'langan,Tadbirkor,31262287,Fargʻona,Farg‘ona,152849,3,234,5735
1005,Samarqand viloyati - Kattaqo‘rg‘on,6a5d4704-bd11-4f1e-a73c-4f4745cdd72b,Steven Jackson,ayol,22,Biznes,89833106,15.26,24,2025-04-17,Kechikkan,Fermer,61515337,Navoiy,Zarafshon,20067,0,227,666
1006,Toshkent shahri,cc8023e1-6de0-491b-bea2-eecf61f0dce0,Kristine Kelley,ayol,26,Ta'lim,272612304,17.29,72,2021-07-09,Jarayonda,Tadbirkor,50064184,Qoraqalpogʻiston Respublikasi,Taxiatosh,149634,2,241,14462
1007,Samarqand viloyati - Kattaqo‘rg‘on,72fcc7cd-fe50-4f45-9a3d-6109d6096748,Jacqueline Thomas,ayol,31,Fermerlik,415247989,18.51,60,2023-03-07,Jarayonda,Talaba,69398148,Toshkent viloyati,Olmaliq,348935,4,106,31204
1008,Buxoro viloyati - Kogon,dedeba96-213e-41d9-847c-7175c0ba4ce9,Jeffrey Francis,ayol,41,Fermerlik,345087715,10.48,48,2021-06-22,Jarayonda,Boshqaruvchi,47196401,Samarqand,Toyloq,287007,3,108,31724
1009,Qoraqalpog‘iston - Chimboy,041bc44f-2ea1-400c-b293-556b0c3ba295,Ryan Peterson,ayol,56,Ta'lim,451940554,20.02,72,2023-06-03,Jarayonda,Tadbirkor,64461925,Surxondaryo,Denov,128469,2,219,5813
1010,Surxondaryo viloyati - Sherobod,9344a372-a793-4ab1-9f32-1b7dac320aab,Johnny Allen,ayol,65,Fermerlik,229854363,10.04,60,2022-09-14,Jarayonda,O'qituvchi,69073613,Namangan,Namangan,54601,1,222,2839
1011,Toshkent shahri,c4d01b40-3cf4-41a3-a7a7-73ce6bafcad6,Paul Turner,erkak,55,Biznes,410332413,16.14,48,2022-02-11,Jarayonda,Tadbirkor,85521514,Namangan,Namangan,54601,1,222,2839
1012,Qashqadaryo viloyati - Shahrisabz,d409e262-6105-40e3-9df1-2d56eb211330,Edgar Green,ayol,43,Biznes,299452832,16.35,24,2022-11-17,Kechikkan,Boshqaruvchi,22970489,Qoraqalpogʻiston Respublikasi,Taxiatosh,149634,2,241,14462
1013,Namangan viloyati - Chortoq,c16c87a6-f1c0-4fd3-9c13-89ba0e1e18ee,Yesenia Baker,ayol,51,Avtokredit,52587267,12.0,48,2024-07-26,Kechikkan,Boshqaruvchi,31243911,Andijon,Asaka,302451,3,236,42183
1014,Xorazm viloyati - Yangibozor,e4928f5d-cba7-424a-9ed4-144a9f194564,Lisa Lee,ayol,58,Biznes,60630116,15.03,36,2025-06-26,Jarayonda,Ishchi,71498920,Surxondaryo,Sherobod,218888,2,257,13143
1015,Sirdaryo viloyati - Guliston,ec7b055a-3c4b-4a2c-90b7-ed974209c510,Daniel Hammond,erkak,37,Ipoteka,26605611,23.89,12,2021-11-14,Jarayonda,Talaba,96655843,Qashqadaryo,Shahrisabz,32063,0,75,1176
1016,Qashqadaryo viloyati - Yakkabog‘,b163aa85-f9a5-4b04-884f-768dc1fcce98,Emily Mann,erkak,34,Avtokredit,215682985,18.01,24,2023-10-12,Jarayonda,Fermer,92044475,Xorazm,Urganch,236963,3,257,4614
1017,Sirdaryo viloyati - Guliston,d36b3d54-8e24-4bb1-8a06-fff296ddb079,Sherry Jimenez,ayol,56,Ta'lim,60310588,17.93,72,2021-07-26,Jarayonda,Talaba,99334898,Buxoro,Buxoro,1000,1,218,59
1018,Surxondaryo viloyati - Termiz,254ece43-24d3-4768-82e1-61351907d715,David Chavez,erkak,47,Ta'lim,21980098,24.58,24,2024-08-09,Kechikkan,Talaba,40675645,Surxondaryo,Denov,128469,2,219,5813
1019,Farg‘ona viloyati - Farg‘ona,62574846-a5c5-487f-a66f-e486d0467bce,Joseph Aguilar,erkak,66,Biznes,304348853,20.46,72,2021-02-11,Kechikkan,Ishchi,28423833,Jizzax,G‘allaorol,17080,1,240,1129
1020,Surxondaryo viloyati - Termiz,3959ed57-a9c6-4b96-a8fc-f7407267b17f,Stephen Benton,erkak,68,Biznes,282962753,23.91,72,2021-05-20,Kechikkan,O'qituvchi,20697278,Qoraqalpogʻiston Respublikasi,Nukus,550856,7,230,52910
1021,Qoraqalpog‘iston - Taxiatosh,9eb33df1-c38b-4ba4-be60-213563312aa8,Jennifer Rivera,ayol,66,Fermerlik,145772293,16.33,12,2020-10-23,To'langan,Ishchi,53540692,Toshkent shahri,Sergeli,193458,2,98,4762
1022,Xorazm viloyati - Xiva,0209c270-af73-4602-ae67-219109a1849e,Mr. Victor Lee,ayol,42,Biznes,351687108,11.27,48,2022-12-05,Jarayonda,Fermer,1141037,Sirdaryo,Sirdaryo,115267,1,238,4878
1023,Buxoro viloyati - G‘ijduvon,f0cad7fa-d53f-4613-a324-ba530b5b6e5b,Dennis Davis,ayol,45,Ipoteka,494642393,15.2,36,2024-03-09,Jarayonda,Talaba,99067931,Andijon,Shahrixon,337056,4,228,20126
1024,Toshkent viloyati - Bekobod,8e0c961c-dc95-471e-84b9-41176b020bae,Robert Reynolds,erkak,35,Avtokredit,244475101,16.57,24,2024-09-07,To'langan,Boshqaruvchi,41190956,Toshkent shahri,Mirobod,356475,5,104,9667
1025,Qashqadaryo viloyati - Yakkabog‘,8495386c-f2a9-41f0-87e9-3709cd4af4b4,Grant Hall,erkak,22,Avtokredit,319207463,17.0,48,2024-07-24,Jarayonda,Boshqaruvchi,5647196,Namangan,Namangan,54601,2,222,2839
1026,Qoraqalpog‘iston - Taxiatosh,d77b6a44-e8bb-4980-b858-e2fe047df819,Kyle Novak,ayol,48,Biznes,58522461,17.99,60,2025-08-23,Kechikkan,O'qituvchi,33441066,Toshkent viloyati,Angren,132850,2,110,12454
1027,Navoiy viloyati - Navoiy,89427a0c-6aab-4598-9c8f-3929aed21a6d,Danielle Smith,ayol,68,Ipoteka,145289971,14.04,24,2025-08-21,To'langan,Tadbirkor,76625098,Xorazm,Yangibozor,315273,4,232,3499
1028,Namangan viloyati - Namangan,a4af0dba-2fd7-4ff1-9808-ec5cf8548805,Kayla Blanchard,ayol,33,Fermerlik,425407614,10.85,48,2023-08-06,Jarayonda,Talaba,55664984,Xorazm,Urganch,236963,2,257,4614
1029,Buxoro viloyati - Buxoro,d8fa76d1-c938-4096-ac76-7858ec0e492a,Victor Johnson,erkak,66,Fermerlik,91900195,23.45,12,2021-05-06,To'langan,Tadbirkor,58521183,Surxondaryo,Sherobod,218888,3,257,13143
1030,Samarqand viloyati - Kattaqo‘rg‘on,8457c5f2-3fd7-41b2-b3e0-a24716eb7c85,Jerry Short,ayol,50,Ipoteka,425866420,19.52,72,2023-09-11,To'langan,Fermer,52339780,Sirdaryo,Sirdaryo,115267,1,238,4878
1031,Buxoro viloyati - Kogon,af98551a-0286-4348-97ec-ca98465d5179,Danielle Lawrence,erkak,48,Ta'lim,459674153,18.83,12,2021-02-19,Kechikkan,Tadbirkor,60525842,Surxondaryo,Sherobod,218888,3,257,13143
1032,Xorazm viloyati - Urganch,0ac9968e-b7a9-46ba-b603-120e268c691c,Shari Wood,ayol,54,Fermerlik,168479021,24.61,24,2021-05-24,Jarayonda,Tadbirkor,33388565,Buxoro,Kogon,49512,1,236,4431
1033,Navoiy viloyati - Qiziltepa,6719b154-2336-48cc-a318-e54620535c47,Penny Martin DDS,erkak,70,Ta'lim,350069207,18.0,12,2021-06-19,Jarayonda,Ishchi,22629185,Navoiy,Qiziltepa,13911,0,247,598
1034,Navoiy viloyati - Navoiy,060511c8-1c0e-4417-bd0b-19e50d17bf31,Ryan Barajas,erkak,69,Ta'lim,488335190,15.04,12,2025-05-13,Jarayonda,Talaba,9804348,Sirdaryo,Guliston,55176,2,235,4862
1035,Surxondaryo viloyati - Sherobod,b3429b92-00ca-461b-a5a8-a3108427caf2,Kathryn Cochran,ayol,28,Fermerlik,402294922,20.85,48,2024-01-23,Jarayonda,Tadbirkor,68570430,Surxondaryo,Sherobod,218888,3,257,13143
1036,Qashqadaryo viloyati - Kitob,36831c08-6f84-4e66-9239-6d7338758e96,Francisco Diaz,erkak,20,Biznes,333590890,20.03,72,2024-02-08,To'langan,Talaba,22916826,Fargʻona,Marg‘ilon,251803,3,266,15042
1037,Qoraqalpog‘iston - Chimboy,75d88c77-64a2-4f86-8357-b18181848ac4,Thomas Garcia,ayol,36,Ipoteka,54579418,24.82,60,2021-06-04,Jarayonda,Boshqaruvchi,61227896,Xorazm,Urganch,236963,2,257,4614
1038,Qashqadaryo viloyati - Yakkabog‘,5407e7af-9667-49f5-80e3-7223ce396d01,David Clark,ayol,53,Fermerlik,319150809,23.18,48,2021-01-03,Jarayonda,Ishchi,72998124,Xorazm,Urganch,236963,2,257,4614
1039,Toshkent viloyati - Bekobod,f99fd692-28e5-4563-9492-07b2f3955dea,Joshua Ward,ayol,37,Fermerlik,142460556,19.77,12,2021-10-09,Kechikkan,Talaba,75485116,Samarqand,Pastdarg‘om,105713,1,132,15720
1040,Sirdaryo viloyati - Shirin,0d0c9fed-31e3-4b93-a6b3-b3cb0c197a8c,Jesse Davis,ayol,27,Biznes,412456765,13.29,12,2023-05-16,Kechikkan,Fermer,22110120,Namangan,Pop,440092,4,239,25049
1041,Qoraqalpog‘iston - Nukus,35c4c960-19be-4859-928b-a4a79d9a7c5e,Kevin Johnson,ayol,42,Avtokredit,341645851,20.66,36,2021-12-21,Kechikkan,Talaba,5055879,Toshkent shahri,Sergeli,193458,3,98,4762
1042,Xorazm viloyati - Yangibozor,d3679e5c-67ff-471a-8084-69b8ace22d65,Lisa Pugh,ayol,61,Avtokredit,150705012,24.31,12,2021-05-29,Kechikkan,Fermer,42940282,Navoiy,Navoiy,40472,0,231,4876
1043,Xorazm viloyati - Urganch,15c5a030-45c5-486f-8c2f-f01dcb178b68,Raymond Gomez,ayol,33,Biznes,416376628,12.13,12,2024-09-06,Kechikkan,O'qituvchi,8484895,Xorazm,Xiva,26077,0,243,1762
1044,Qashqadaryo viloyati - Kitob,3aab2fbb-a6ce-4d93-937e-53529f7005e5,William Henderson,erkak,67,Biznes,18815292,10.67,24,2021-11-04,Jarayonda,Fermer,85120473,Xorazm,Urganch,236963,2,257,4614
1045,Andijon viloyati - Andijon,bd260ef1-6df0-413b-b656-aa45daec67b7,Cheryl Kennedy,erkak,56,Fermerlik,348423164,20.19,60,2021-08-20,Kechikkan,Tadbirkor,64037929,Xorazm,Xiva,26077,0,243,1762
1046,Xorazm viloyati - Xiva,744bcb57-89dc-47f7-bd86-87a00b1e9174,Taylor Dean,erkak,51,Fermerlik,336022770,23.22,60,2025-05-29,To'langan,Fermer,40898634,Namangan,Chortoq,210264,2,236,9822
1047,Namangan viloyati - Namangan,66a7005e-24e5-4672-9230-2339dfdad267,Tami Sanchez,erkak,34,Avtokredit,53546488,23.76,48,2024-02-04,Jarayonda,Fermer,34810555,Jizzax,Jizzax,78543,2,235,3949
1048,Qoraqalpog‘iston - Nukus,128d25e6-2f43-474a-ad46-9e88a2a25809,Robert Bradley,erkak,69,Ipoteka,394412329,13.37,60,2025-06-16,To'langan,Tadbirkor,9609322,Navoiy,Zarafshon,20067,0,227,666
1049,Surxondaryo viloyati - Sherobod,87ab479e-9f2c-4800-8d30-c6aa338a17e2,Jeremy Diaz,erkak,51,Avtokredit,32807099,16.58,12,2022-03-08,To'langan,O'qituvchi,69981713,Qashqadaryo,Yakkabog‘,27717,1,77,3060
1050,Surxondaryo viloyati - Termiz,ae8fc9a9-893e-4db5-aa5f-83fc58c1be22,Diana Waters,erkak,57,Avtokredit,139764299,14.06,24,2024-09-15,Kechikkan,Fermer,18875803,Surxondaryo,Denov,128469,2,219,5813
1051,Samarqand viloyati - Nurobod,1492f67c-5b30-45fa-aeba-3cb2fadaaac0,Tony Ayers,ayol,48,Ipoteka,271621167,11.31,36,2025-08-30,Kechikkan,Boshqaruvchi,23479875,Qoraqalpogʻiston Respublikasi,Taxiatosh,149634,2,241,14462
1052,Qashqadaryo viloyati - Koson,15801fd8-74dc-4554-939a-a30c07d7c374,Teresa Gomez,ayol,37,Ipoteka,336194122,17.38,24,2024-08-10,Jarayonda,Fermer,16798957,Xorazm,Yangibozor,315273,4,232,3499
1053,Xorazm viloyati - Urganch,141f4568-535b-4b9e-bbbe-ce54f3be3c90,Jennifer Jarvis MD,ayol,70,Ta'lim,465047273,10.95,72,2022-06-03,To'langan,Ishchi,59200458,Sirdaryo,Guliston,55176,2,235,4862
1054,Qashqadaryo viloyati - Yakkabog‘,960d64b4-9cf0-480d-b778-b8542a4b854b,Kyle Hernandez,ayol,58,Fermerlik,448749221,16.26,36,2025-06-13,Kechikkan,Fermer,35797868,Namangan,Pop,440092,5,239,25049
1055,Xorazm viloyati - Yangibozor,a524bda9-b42b-454d-8442-7c3728ebee82,Robert Martinez,erkak,66,Fermerlik,329372200,15.99,12,2023-05-19,Jarayonda,Boshqaruvchi,50316804,Sirdaryo,Guliston,55176,2,235,4862
1056,Navoiy viloyati - Navoiy,69823469-7800-4518-ba3a-1531c8024c79,Abigail Howard,erkak,35,Ta'lim,352087918,24.27,24,2024-11-30,Kechikkan,Tadbirkor,5390638,Toshkent shahri,Mirzo Ulug‘bek,2171,1,101,261
1057,Qoraqalpog‘iston - Chimboy,68225399-4053-4bba-8f2a-69f4e2ac6fcd,Kristopher Mason,ayol,55,Ta'lim,283629553,11.66,48,2023-03-30,Kechikkan,Boshqaruvchi,60246462,Jizzax,Jizzax,78543,1,235,3949
1058,Xorazm viloyati - Urganch,a653f696-2099-49b6-9520-a024f9de362e,Dr. Denise James,erkak,24,Biznes,231040156,21.22,36,2024-02-25,Kechikkan,Tadbirkor,4244279,Qashqadaryo,Nishon,37562,0,54,5248
1059,Jizzax viloyati - Do‘stlik,8b26bc2d-f061-40d8-bf60-10b50c43a377,Michael Thompson,ayol,54,Ta'lim,414810970,22.09,24,2021-01-12,To'langan,O'qituvchi,32391407,Qoraqalpogʻiston Respublikasi,Chimboy,280515,3,257,13819
1060,Qashqadaryo viloyati - Yakkabog‘,49f9f3e6-4767-4374-bec2-e51d1c1fc3aa,Peter Floyd,erkak,37,Ipoteka,87251271,19.48,24,2025-09-29,Kechikkan,Talaba,10305723,Toshkent viloyati,Chinoz,78727,2,127,9337
1061,Samarqand viloyati - Samarqand,92f389af-f46a-4719-8e9f-e2ddce1b1e9b,Laura Gray,ayol,28,Biznes,76755643,13.65,60,2021-05-25,To'langan,Boshqaruvchi,14849932,Fargʻona,Farg‘ona,152849,3,234,5735
1062,Toshkent viloyati - Chirchiq,d4625023-337c-4ae8-b794-1f09d56abbd0,Timothy Gibbs,erkak,65,Avtokredit,421635814,23.24,24,2022-07-12,To'langan,Tadbirkor,45263063,Samarqand,Pastdarg‘om,105713,2,132,15720
1063,Buxoro viloyati - G‘ijduvon,1024a930-13ad-410b-828b-0ebc820c0706,Benjamin Galvan,erkak,30,Fermerlik,329739744,24.39,60,2021-07-07,Kechikkan,Talaba,89681243,Toshkent viloyati,Bekobod,360270,4,102,12267
1064,Qoraqalpog‘iston - Taxiatosh,60ba03bf-568c-4934-9b02-1053dbab150c,Juan Morris,ayol,22,Biznes,445749968,20.53,60,2024-05-06,To'langan,O'qituvchi,46840977,Andijon,Shahrixon,337056,3,228,20126
1065,Samarqand viloyati - Samarqand,d0a32b2e-46f8-42db-8dc5-21129126e6c3,Ronald Fry,ayol,21,Ta'lim,161362711,24.04,48,2021-11-27,Kechikkan,Tadbirkor,30385950,Toshkent viloyati,Bekobod,360270,5,102,12267
1066,Jizzax viloyati - G‘allaorol,1fa9a289-788f-4e25-ae81-6c191a67fb37,Caitlin Pittman,erkak,62,Ta'lim,404587292,19.37,24,2024-06-15,Jarayonda,Ishchi,7770949,Samarqand,Nurobod,41107,1,127,1459
1067,Namangan viloyati - Chortoq,f4693534-6255-400b-add3-84659319b91a,Tara Brown,ayol,69,Fermerlik,447972453,20.16,72,2024-08-26,Jarayonda,Tadbirkor,1356177,Qoraqalpogʻiston Respublikasi,Chimboy,280515,3,257,13819
1068,Toshkent viloyati - Chirchiq,935541ac-2e3e-420d-afd8-ce693788157f,Steven Hicks,erkak,56,Ipoteka,216117659,18.45,72,2023-02-09,Kechikkan,Ishchi,1760259,Namangan,Chortoq,210264,2,236,9822
1069,Buxoro viloyati - G‘ijduvon,736a9dae-d678-47a2-b85a-0808a81abe17,Becky Washington,ayol,28,Fermerlik,111431608,23.02,24,2025-04-02,To'langan,Ishchi,41356759,Sirdaryo,Guliston,55176,1,235,4862
1070,Andijon viloyati - Shahrixon,549361a3-6a5b-4d63-8e04-614d031df98b,Rodney Hawkins,erkak,56,Fermerlik,59294767,15.82,48,2022-06-09,Jarayonda,Ishchi,7323951,Toshkent viloyati,Chinoz,78727,2,127,9337
1071,Farg‘ona viloyati - Marg‘ilon,2c1a3104-3407-491e-b055-eb21a91a2405,Frank Harris,ayol,18,Fermerlik,219120723,16.39,24,2024-03-22,Jarayonda,O'qituvchi,27612674,Toshkent shahri,Mirzo Ulug‘bek,2171,1,101,261
1072,Toshkent viloyati - Bekobod,de5a03c3-c5a0-46e9-a191-1aed09de665e,Betty Shaffer,erkak,49,Ipoteka,100990445,22.6,24,2023-03-25,Kechikkan,Fermer,717282,Navoiy,Qiziltepa,13911,0,247,598
1073,Buxoro viloyati - Buxoro,4503b0f9-316e-4d35-b61c-718c64001622,Gabriela Fuller,erkak,46,Ipoteka,269890875,22.65,12,2021-07-06,Jarayonda,O'qituvchi,64536836,Qashqadaryo,Shahrisabz,32063,1,75,1176
1074,Surxondaryo viloyati - Termiz,9b63158d-0e47-4e8c-a76a-f9f7122c80e5,David Garza,ayol,59,Ipoteka,389117572,10.6,60,2021-11-14,To'langan,Ishchi,60836763,Andijon,Asaka,302451,3,236,42183
1075,Samarqand viloyati - Samarqand,e70f8408-ade1-4d4a-85f1-fb57178d8472,Nancy Nelson,erkak,46,Fermerlik,300122438,11.53,60,2025-02-06,To'langan,Ishchi,43030074,Navoiy,Zarafshon,20067,0,227,666
1076,Surxondaryo viloyati - Termiz,1e6eec61-0736-473b-b8e9-2e4f8a607009,Benjamin Wood,ayol,28,Biznes,290640893,24.97,48,2023-09-06,Jarayonda,Talaba,62006739,Andijon,Asaka,302451,3,236,42183
1077,Sirdaryo viloyati - Sirdaryo,7452ea08-d779-4ecd-92c6-c26bf3f11e20,Omar Bauer,erkak,32,Avtokredit,31121203,21.67,12,2025-04-22,Kechikkan,Talaba,18586247,Surxondaryo,Sherobod,218888,2,257,13143
1078,Sirdaryo viloyati - Shirin,15b066d9-1f49-494f-861f-61daa7455304,Rachel Cox,ayol,18,Ipoteka,300143298,12.78,12,2025-06-12,Jarayonda,Boshqaruvchi,19425298,Jizzax,G‘allaorol,17080,0,240,1129
1079,Farg‘ona viloyati - Farg‘ona,1f5f7a4b-24ea-4aab-98bc-26f5970794b9,Christina Mitchell,erkak,31,Avtokredit,36179515,12.76,72,2021-01-08,To'langan,Fermer,91482290,Toshkent shahri,Yashnobod,1000,1,88,28
1080,Qashqadaryo viloyati - Beshkent,f99b36d0-d07a-4d30-9a22-5c0144ce2a99,Roberto Webb,ayol,61,Fermerlik,75128381,13.07,36,2024-03-16,Kechikkan,Fermer,84145037,Sirdaryo,Shirin,77686,2,255,9183
1081,Namangan viloyati - Pop,b6c032a3-3fd1-45a8-8169-f06942c17a53,Keith Chan,ayol,46,Ta'lim,250895537,13.97,48,2023-07-14,Kechikkan,Talaba,66781888,Qashqadaryo,Dehqonobod,8579,1,78,830
1082,Navoiy viloyati - Navoiy,af9ef509-0e19-40b4-826d-18f1d6a3f8ac,William Ibarra,erkak,45,Avtokredit,354465309,15.44,24,2024-03-18,Jarayonda,Tadbirkor,57994953,Jizzax,G‘allaorol,17080,0,240,1129
1083,Qashqadaryo viloyati - Koson,a9c84b7e-2b16-4536-a4eb-e05cb3f3d055,Michael Gates,erkak,56,Fermerlik,255660214,10.46,72,2021-09-13,Kechikkan,Boshqaruvchi,7604287,Jizzax,G‘allaorol,17080,0,240,1129
1084,Qoraqalpog‘iston - Chimboy,376466cb-45f6-494a-996c-1d45e1babcd7,Ronald Harris,erkak,43,Biznes,456596028,17.79,36,2022-02-21,To'langan,Fermer,63565750,Qashqadaryo,Kitob,16310,0,77,1493
1085,Navoiy viloyati - Qiziltepa,4bb3739d-e6f3-433c-8f7c-f6216ab3d4e2,Ruth Armstrong,ayol,65,Biznes,403024097,23.38,36,2022-01-08,Kechikkan,Tadbirkor,21652913,Fargʻona,Marg‘ilon,251803,3,266,15042
1086,Andijon viloyati - Shahrixon,b6ce2184-ec60-42dc-86cb-0e375a0b8332,Kimberly Collins,ayol,40,Biznes,126299308,21.87,48,2023-11-02,Jarayonda,Ishchi,93578407,Fargʻona,Qo‘qon,283539,4,211,26120
1087,Qashqadaryo viloyati - Beshkent,15518f50-cbe8-4d23-bbbe-5d818786fca7,Albert Bradshaw,erkak,54,Biznes,302256683,18.94,24,2023-04-04,To'langan,Boshqaruvchi,23993636,Qoraqalpogʻiston Respublikasi,Chimboy,280515,3,257,13819
1088,Andijon viloyati - Shahrixon,b02b6625-250b-408c-85ac-5a2fcd27bb16,Gregory Moon,ayol,56,Ipoteka,160166341,11.27,12,2022-04-17,Kechikkan,O'qituvchi,47250110,Xorazm,Xiva,26077,1,243,1762
1089,Buxoro viloyati - Buxoro,78bd663f-eef3-4138-bd7f-2d3e39924c39,Crystal Coleman,erkak,23,Biznes,59640262,16.93,24,2024-07-15,Jarayonda,O'qituvchi,65675522,Navoiy,Qiziltepa,13911,0,247,598
1090,Farg‘ona viloyati - Marg‘ilon,d2cdb320-8b6d-47bc-bacd-f3e718686b5e,Joseph Smith,erkak,23,Biznes,332117777,15.39,72,2025-03-29,To'langan,Talaba,88132373,Toshkent viloyati,Bekobod,360270,4,102,12267
1091,Sirdaryo viloyati - Sirdaryo,8e84124a-4c97-4537-bcc6-7666daac86bd,Christopher Huynh,ayol,63,Avtokredit,273076740,24.26,60,2022-10-19,To'langan,Tadbirkor,90915653,Qashqadaryo,Mirishkor,20029,0,59,673
1092,Jizzax viloyati - Jizzax,017b532a-200a-432e-a7cc-9ac55ad26cad,Jacob Scott,erkak,69,Biznes,151300848,15.71,72,2025-10-03,Jarayonda,Ishchi,15209671,Namangan,Namangan,54601,2,222,2839
1093,Qoraqalpog‘iston - Taxiatosh,6576e914-1e8c-4f0f-ab3a-98e30f049af5,Phillip Ortiz,erkak,44,Ipoteka,42468536,19.08,72,2022-12-26,To'langan,O'qituvchi,44979188,Andijon,Asaka,302451,4,236,42183
1094,Buxoro viloyati - Buxoro,7d1b95dd-33b2-4a9a-8795-bd03f7d0f546,Michelle Shaw,ayol,54,Avtokredit,263659824,24.62,12,2023-07-15,Kechikkan,O'qituvchi,48043718,Qoraqalpogʻiston Respublikasi,Chimboy,280515,3,257,13819
1095,Buxoro viloyati - Buxoro,8e23fce6-73c3-4063-89bd-649147334e64,Elizabeth Lee,ayol,37,Biznes,46261920,10.78,48,2024-09-11,Kechikkan,Ishchi,14449487,Andijon,Andijon,535564,5,230,5751
1096,Buxoro viloyati - Kogon,faac88d3-c080-4e0c-905c-5f3afc694ddd,Charles Harrison,ayol,26,Fermerlik,207658608,15.04,48,2024-03-01,Kechikkan,Tadbirkor,61917326,Buxoro,G‘ijduvon,62601,2,233,6501
1097,Farg‘ona viloyati - Marg‘ilon,e4853505-bc56-43e6-81ad-7a41b4a96cd4,Hannah West,ayol,26,Avtokredit,327432984,22.48,24,2023-07-11,Kechikkan,Boshqaruvchi,8222799,Qashqadaryo,Nishon,37562,0,54,5248
1098,Qoraqalpog‘iston - Chimboy,8626496f-51f8-4b06-9455-edf469921756,Dawn Lyons,ayol,40,Ipoteka,176425151,21.35,36,2022-09-16,Jarayonda,Ishchi,94503115,Surxondaryo,Sherobod,218888,2,257,13143
1099,Namangan viloyati - Pop,59afcbd2-4d84-454f-935a-a046511dc90e,Dawn Christian,ayol,52,Fermerlik,352274106,10.94,48,2021-01-14,To'langan,Fermer,10549255,Jizzax,Jizzax,78543,1,235,3949
1100,Navoiy viloyati - Qiziltepa,3cf6fb47-1401-4d7f-9469-83d1f39a749b,Jacob Lopez,ayol,25,Fermerlik,206195936,18.02,60,2024-02-15,To'langan,Fermer,65828280,Toshkent viloyati,Chirchiq,373498,4,131,24067
1101,Samarqand viloyati - Samarqand,e5d1c2ea-8d3b-45a1-ab20-af19631cdeab,Peter Lopez,erkak,19,Ipoteka,241350405,15.8,60,2021-04-24,To'langan,O'qituvchi,19290215,Jizzax,Jizzax,78543,2,235,3949
1102,Sirdaryo viloyati - Shirin,bd726d78-f2a2-4ca0-b88b-485fce483cd0,Luke Ford,ayol,21,Ipoteka,129704420,15.93,36,2024-07-11,Jarayonda,Talaba,79588522,Samarqand,Pastdarg‘om,105713,1,132,15720
1103,Toshkent viloyati - Bekobod,18602fac-d0bd-4069-a15a-a15b7fc6c3e2,Wendy Scott,ayol,49,Biznes,68176615,21.37,12,2023-02-15,Jarayonda,Boshqaruvchi,5402231,Xorazm,Xiva,26077,1,243,1762
1104,Surxondaryo viloyati - Denov,ec105a18-9be8-4fe5-abf3-3d6c76cb09f0,Jeffrey Grant MD,ayol,44,Biznes,497239575,10.23,24,2022-12-08,Jarayonda,Boshqaruvchi,15520269,Navoiy,Zarafshon,20067,0,227,666
1105,Qashqadaryo viloyati - Beshkent,3285b161-c23e-4134-acfa-62a063ab4933,Nancy Edwards,erkak,67,Ta'lim,472473024,10.96,48,2024-05-17,To'langan,Tadbirkor,33794815,Buxoro,Kogon,49512,1,236,4431
1106,Xorazm viloyati - Yangibozor,a0c3bd96-bd23-43ab-9664-df55e6f22fa3,Donald Benton,ayol,18,Avtokredit,328133610,16.01,60,2022-08-22,Kechikkan,Ishchi,26210346,Toshkent shahri,Yashnobod,1000,1,88,28
1107,Toshkent shahri,7bf21c72-9b74-43d7-a1ec-ae7e87474c07,Cindy Miller,ayol,69,Fermerlik,305356175,19.33,12,2025-08-20,To'langan,Fermer,7951274,Qoraqalpogʻiston Respublikasi,Nukus,550856,7,230,52910
1108,Navoiy viloyati - Zarafshon,86804727-0de8-42fa-9db6-32ba00606116,Jason Rhodes,ayol,20,Fermerlik,128816427,11.85,36,2023-07-13,Kechikkan,Fermer,47003920,Toshkent viloyati,Bekobod,360270,5,102,12267
1109,Navoiy viloyati - Navoiy,d2fab508-3e56-407f-a2ab-0a4d698faede,Clifford Morales,erkak,42,Ipoteka,14485426,13.3,36,2021-04-08,Jarayonda,Talaba,16590613,Toshkent viloyati,Chirchiq,373498,4,131,24067
1110,Buxoro viloyati - Buxoro,d5171d73-f0b5-422c-8c76-6550116fa6c8,Gregory Boyle,erkak,54,Ipoteka,188486552,11.22,48,2024-08-13,Jarayonda,Ishchi,53301573,Qashqadaryo,Dehqonobod,8579,1,78,830
